File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,Duration_(sec),Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,FREQ_types,FREQ_tokens,FREQ_TTR,Words_Min,Verbs_Utt,%_Word_Errors,Utt_Errors,%_Nouns,%_Plurals,%_Verbs,%_Aux,%_3S,%_PAST,%_PASTP,%_PRESP,%_prep,%_adj,%_adv,%_conj,%_det,%_pro,noun_verb,open_closed,#open-class,#closed-class,retracing,repetition
amy.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,32,32,1.031,1.031,15,33,0.455,NA,0,0,0,9.091,0,0,0,0,0,0,0,0,6.061,3.03,0,0,3.03,NA,0.222,6,27,0,0
betty.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,12,10,1.1,1.1,9,13,0.692,NA,0,0,0,53.846,0,0,0,0,0,0,0,0,0,0,0,7.692,7.692,NA,1.167,7,6,0,0
chuck.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,48,44,1.386,1.386,15,67,0.224,NA,0.042,0,0,46.269,0,2.985,0,50,0,0,0,2.985,0,17.91,0,0,0,15.5,2.045,45,22,0,0
doug.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,8,8,1,1,5,8,0.625,NA,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.6,3,5,0,0
ed.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,26,26,1,1.154,14,26,0.538,NA,0,0,0,53.846,28.571,0,0,0,0,0,0,0,7.692,3.846,0,0,0,NA,1.889,17,9,0,1
frank.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,25,20,1.25,1.25,13,30,0.433,NA,0,0,0,16.667,0,0,0,0,0,0,0,0,0,0,0,0,33.333,NA,0.2,5,25,0,0
gloria.cha,eng,Bates,CHI,1;10.,female,TD,.,MC,Target_Child,.,.,0,17,17,1.118,1.118,12,19,0.632,NA,0,0,0,10.526,0,0,0,0,0,0,0,0,5.263,0,0,0,5.263,NA,0.188,3,16,0,0
hank.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,16,15,1.067,1.067,16,19,0.842,NA,0.125,0,0,10.526,0,10.526,0,0,0,0,0,5.263,5.263,21.053,0,0,5.263,1,0.9,9,10,0,0
ivy.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,5,5,1.6,1.6,4,8,0.5,NA,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,37.5,NA,1,4,4,0,1
jane.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,3,3,1,1,3,3,1,NA,0,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.5,1,2,0,0
jim.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,18,17,1.294,1.294,17,23,0.739,NA,0.056,0,0,21.739,0,4.348,0,0,0,0,0,4.348,39.13,8.696,0,0,4.348,5,2.833,17,6,0,0
kathy.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,15,14,1,1,9,15,0.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333,0,0,6.667,NA,0.154,2,13,0,0
keith.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,55,53,1.547,1.66,39,89,0.438,NA,0.236,0,0,30.337,11.111,12.36,3.371,72.727,9.091,9.091,0,3.371,6.742,10.112,0,2.247,17.978,2.455,1.618,55,34,1,0
kent.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,20,19,1,1,10,20,0.5,NA,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.333,5,15,0,0
linda.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,36,29,1.172,1.172,23,47,0.489,NA,0.028,0,0,17.021,0,2.128,6.383,300,0,0,0,4.255,2.128,21.277,0,0,6.383,8,0.741,20,27,0,0
mandy.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,23,23,1.261,1.609,11,29,0.379,NA,0.261,0,0,31.034,22.222,20.69,0,0,100,100,0,0,6.897,0,0,0,0,1.5,1.417,17,12,0,0
nan.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,43,43,1,1,16,43,0.372,NA,0,0,0,53.488,0,0,0,0,0,0,0,0,0,4.651,0,0,2.326,NA,1.389,25,18,0,1
olivia.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,72,64,1.109,1.141,39,84,0.464,NA,0.083,0,0,50,4.762,7.143,0,0,0,0,0,0,2.381,4.762,0,3.571,2.381,7,1.8,54,30,0,0
paula.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,16,14,1.214,1.286,7,19,0.368,NA,0.062,0,0,5.263,0,5.263,0,0,100,100,0,0,0,0,0,0,47.368,1,0.118,2,17,0,0
pete.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,1,1,1,1,1,1,1,NA,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0
ruth.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,35,31,1.065,1.258,17,37,0.459,NA,0.029,0,0,45.946,52.941,2.703,0,0,0,0,0,0,0,0,0,2.703,2.703,17,0.947,18,19,0,0
steve.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,34,29,1.034,1.034,12,35,0.343,NA,0,0,0,82.857,0,0,0,0,0,0,0,0,0,2.857,0,0,2.857,NA,6,30,5,1,0
sue.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,42,41,1.024,1.024,23,43,0.535,NA,0.095,0,0,11.628,0,9.302,0,25,0,0,0,0,2.326,2.326,0,0,4.651,1.25,0.344,11,32,0,0
tom.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,38,35,1.114,1.286,29,43,0.674,NA,0.184,0,0,13.953,66.667,16.279,2.326,28.571,0,0,28.571,2.326,9.302,2.326,0,4.651,2.326,0.857,0.72,18,25,0,0
vicki.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,2,2,1,1,2,2,1,NA,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0
wanda.cha,eng,Bates,CHI,1;08.,female,TD,.,MC,Target_Child,.,.,0,35,33,1.97,2,24,70,0.343,NA,0.257,0,0,31.429,0,12.857,1.429,11.111,11.111,11.111,0,1.429,0,11.429,0,25.714,5.714,2.444,1.258,39,31,0,2
will.cha,eng,Bates,CHI,1;08.,male,TD,.,MC,Target_Child,.,.,0,11,11,1.545,1.909,11,17,0.647,NA,0.364,0,0,35.294,50,23.529,0,25,0,0,25,0,11.765,0,0,5.882,5.882,1.5,2.4,12,5,0,0
